"Time",pm10
2024-10-06 02:00:00,0.0256
2024-10-06 03:00:00,0.0277
2024-10-06 04:00:00,0.0261
2024-10-06 05:00:00,0.0298
2024-10-06 06:00:00,0.0345
2024-10-06 07:00:00,0.0332
2024-10-06 08:00:00,0.0493
2024-10-06 09:00:00,0.0465
2024-10-06 10:00:00,0.0407
2024-10-06 11:00:00,0.0428
2024-10-06 12:00:00,0.0307
2024-10-06 13:00:00,0.0357
2024-10-06 14:00:00,0.0362
2024-10-06 15:00:00,0.0358
2024-10-06 16:00:00,0.0352
2024-10-06 17:00:00,0.0373
2024-10-06 18:00:00,0.0295
2024-10-06 19:00:00,0.0396
2024-10-06 20:00:00,0.0406
2024-10-06 21:00:00,0.0447
2024-10-06 22:00:00,0.0470
2024-10-06 23:00:00,0.0430
2024-10-07 00:00:00,0.0444
2024-10-07 01:00:00,0.0345
2024-10-07 02:00:00,0.0362
2024-10-07 03:00:00,0.0312
2024-10-07 04:00:00,0.0389
2024-10-07 05:00:00,0.0260
2024-10-07 06:00:00,0.0301
2024-10-07 07:00:00,0.0346
2024-10-07 08:00:00,0.0287
2024-10-07 09:00:00,0.0353
2024-10-07 10:00:00,0.0349
2024-10-07 11:00:00,0.0320
2024-10-07 12:00:00,0.0320
2024-10-07 13:00:00,0.0357
2024-10-07 14:00:00,0.0290
2024-10-07 15:00:00,0.0270
2024-10-07 16:00:00,0.0268
2024-10-07 17:00:00,0.0336
2024-10-07 18:00:00,0.0277
2024-10-07 19:00:00,0.0432
2024-10-07 20:00:00,0.0417
2024-10-07 21:00:00,0.0375
2024-10-07 22:00:00,0.0313
2024-10-07 23:00:00,0.0277
2024-10-08 00:00:00,0.0317
2024-10-08 01:00:00,0.0434
2024-10-08 02:00:00,0.0334
2024-10-08 03:00:00,0.0443
2024-10-08 04:00:00,0.0373
2024-10-08 05:00:00,0.0344
2024-10-08 06:00:00,0.0304
2024-10-08 07:00:00,0.0267
2024-10-08 08:00:00,0.0227
2024-10-08 09:00:00,0.0241
2024-10-08 10:00:00,0.0188
2024-10-08 11:00:00,0.0226
2024-10-08 12:00:00,0.0327
2024-10-08 13:00:00,0.0338
2024-10-08 14:00:00,0.0284
2024-10-08 15:00:00,0.0337
2024-10-08 16:00:00,0.0369
2024-10-08 17:00:00,0.0342
2024-10-08 18:00:00,0.0330
2024-10-08 19:00:00,0.0321
2024-10-08 20:00:00,0.0399
2024-10-08 21:00:00,0.0328
2024-10-08 22:00:00,0.0339
2024-10-08 23:00:00,0.0293
2024-10-09 00:00:00,0.0195
2024-10-09 01:00:00,0.0244
2024-10-09 02:00:00,0.0280
2024-10-09 03:00:00,0.0280
2024-10-09 04:00:00,0.0282
2024-10-09 05:00:00,0.0257
2024-10-09 06:00:00,0.0251
2024-10-09 07:00:00,0.0248
2024-10-09 08:00:00,0.0208
2024-10-09 09:00:00,0.0231
2024-10-09 10:00:00,0.0290
2024-10-09 11:00:00,0.0207
2024-10-09 12:00:00,0.0667
2024-10-09 13:00:00,0.0656
2024-10-09 14:00:00,0.0388
2024-10-09 15:00:00,0.0289
2024-10-09 16:00:00,0.0337
2024-10-09 17:00:00,0.0347
2024-10-09 18:00:00,0.0578
2024-10-09 19:00:00,0.0415
2024-10-09 20:00:00,0.0337
2024-10-09 21:00:00,0.0252
2024-10-09 22:00:00,0.0194
2024-10-09 23:00:00,0.0793
2024-10-10 00:00:00,0.0436
2024-10-10 01:00:00,0.0360
2024-10-10 02:00:00,0.0322
2024-10-10 03:00:00,0.0333
2024-10-10 04:00:00,0.0247
2024-10-10 05:00:00,0.0296
2024-10-10 06:00:00,0.0311
2024-10-10 07:00:00,0.0284
2024-10-10 08:00:00,0.0276
2024-10-10 09:00:00,0.0276
2024-10-10 10:00:00,0.0248
2024-10-10 11:00:00,0.0263
2024-10-10 12:00:00,0.0250
2024-10-10 13:00:00,0.0313
2024-10-10 14:00:00,0.0370
2024-10-10 15:00:00,0.0349
2024-10-10 16:00:00,0.0198
2024-10-10 17:00:00,0.0153
2024-10-10 18:00:00,0.0277
2024-10-10 19:00:00,0.0215
2024-10-10 20:00:00,0.0221
2024-10-10 21:00:00,0.0272
2024-10-10 22:00:00,0.0247
2024-10-10 23:00:00,0.0217
2024-10-11 00:00:00,0.0172
2024-10-11 01:00:00,0.0268
2024-10-11 02:00:00,0.0330
2024-10-11 03:00:00,0.0254
2024-10-11 04:00:00,0.0329
2024-10-11 05:00:00,0.0341
2024-10-11 06:00:00,0.0214
2024-10-11 07:00:00,0.0199
2024-10-11 08:00:00,0.0322
2024-10-11 09:00:00,0.0239
2024-10-11 10:00:00,0.0312
2024-10-11 11:00:00,0.0186
